name,url,variant,regular_price,sale_price,scraped_at
HERBES DE PROVENCE,https://justingredients.co.uk/products/herbes-de-provence?_pos=1&_sid=850c5f5b3&_ss=r,100g,£3.60,£2.70,2025-07-27T18:54:50.027081
HERBES DE PROVENCE,https://justingredients.co.uk/products/herbes-de-provence?_pos=1&_sid=850c5f5b3&_ss=r,250g,£7.05,£7.05,2025-07-27T18:54:50.057049
HERBES DE PROVENCE,https://justingredients.co.uk/products/herbes-de-provence?_pos=1&_sid=850c5f5b3&_ss=r,500g,£12.47,£12.47,2025-07-27T18:54:50.085136
HERBES DE PROVENCE,https://justingredients.co.uk/products/herbes-de-provence?_pos=1&_sid=850c5f5b3&_ss=r,1kg,£21.87,£21.87,2025-07-27T18:54:50.110910
PLANTAIN HERB,https://justingredients.co.uk/products/plantain-herb?_pos=2&_sid=850c5f5b3&_ss=r,100g,£5.86,£4.39,2025-07-27T18:54:52.455404
PLANTAIN HERB,https://justingredients.co.uk/products/plantain-herb?_pos=2&_sid=850c5f5b3&_ss=r,500g,£20.83,£20.83,2025-07-27T18:54:52.484465
PASSION FLOWER HERB,https://justingredients.co.uk/products/passion-flower-herb?_pos=3&_sid=850c5f5b3&_ss=r,100g,£7.06,£5.29,2025-07-27T18:54:54.839145
PASSION FLOWER HERB,https://justingredients.co.uk/products/passion-flower-herb?_pos=3&_sid=850c5f5b3&_ss=r,250g,£14.42,£14.42,2025-07-27T18:54:54.869525
PASSION FLOWER HERB,https://justingredients.co.uk/products/passion-flower-herb?_pos=3&_sid=850c5f5b3&_ss=r,500g,£25.85,£25.85,2025-07-27T18:54:54.897443
PASSION FLOWER HERB,https://justingredients.co.uk/products/passion-flower-herb?_pos=3&_sid=850c5f5b3&_ss=r,1kg,£45.94,£45.94,2025-07-27T18:54:54.930141
ECHINACEA HERB,https://justingredients.co.uk/products/echinacea-herb?_pos=4&_sid=850c5f5b3&_ss=r,100g,£5.57,£4.18,2025-07-27T18:54:57.397865
ECHINACEA HERB,https://justingredients.co.uk/products/echinacea-herb?_pos=4&_sid=850c5f5b3&_ss=r,250g,£11.03,£11.03,2025-07-27T18:54:57.423290
ECHINACEA HERB,https://justingredients.co.uk/products/echinacea-herb?_pos=4&_sid=850c5f5b3&_ss=r,500g,£19.61,£19.61,2025-07-27T18:54:57.449704
ECHINACEA HERB,https://justingredients.co.uk/products/echinacea-herb?_pos=4&_sid=850c5f5b3&_ss=r,1kg,£34.54,£34.54,2025-07-27T18:54:57.476167
ITALIAN HERB SEASONING,https://justingredients.co.uk/products/italian-herbs?_pos=5&_sid=850c5f5b3&_ss=r,100g,£3.91,£2.93,2025-07-27T18:54:59.800091
ITALIAN HERB SEASONING,https://justingredients.co.uk/products/italian-herbs?_pos=5&_sid=850c5f5b3&_ss=r,250g,£7.75,£7.75,2025-07-27T18:54:59.827786
ITALIAN HERB SEASONING,https://justingredients.co.uk/products/italian-herbs?_pos=5&_sid=850c5f5b3&_ss=r,500g,£13.77,£13.77,2025-07-27T18:54:59.856096
ITALIAN HERB SEASONING,https://justingredients.co.uk/products/italian-herbs?_pos=5&_sid=850c5f5b3&_ss=r,1kg,£24.20,£24.20,2025-07-27T18:54:59.882794
TANSY HERB,https://justingredients.co.uk/products/tansy-herb?_pos=6&_sid=850c5f5b3&_ss=r,250g,£10.63,£10.63,2025-07-27T18:55:02.212068
TANSY HERB,https://justingredients.co.uk/products/tansy-herb?_pos=6&_sid=850c5f5b3&_ss=r,500g,£18.88,£18.88,2025-07-27T18:55:02.255556
TANSY HERB,https://justingredients.co.uk/products/tansy-herb?_pos=6&_sid=850c5f5b3&_ss=r,1kg,£33.19,£33.19,2025-07-27T18:55:02.282173
BUCKWHEAT HERB,https://justingredients.co.uk/products/buckwheat-herb?_pos=7&_sid=850c5f5b3&_ss=r,100g,£6.35,£4.76,2025-07-27T18:55:04.567143
BUCKWHEAT HERB,https://justingredients.co.uk/products/buckwheat-herb?_pos=7&_sid=850c5f5b3&_ss=r,250g,£12.83,£12.83,2025-07-27T18:55:04.591686
BUCKWHEAT HERB,https://justingredients.co.uk/products/buckwheat-herb?_pos=7&_sid=850c5f5b3&_ss=r,500g,£22.91,£22.91,2025-07-27T18:55:04.615539
BUCKWHEAT HERB,https://justingredients.co.uk/products/buckwheat-herb?_pos=7&_sid=850c5f5b3&_ss=r,1kg,£40.58,£40.58,2025-07-27T18:55:04.640294
CLIVERS HERB (CLEAVERS),https://justingredients.co.uk/products/clivers-herb?_pos=8&_sid=850c5f5b3&_ss=r,100g,£6.30,£4.73,2025-07-27T18:55:06.952797
CLIVERS HERB (CLEAVERS),https://justingredients.co.uk/products/clivers-herb?_pos=8&_sid=850c5f5b3&_ss=r,250g,£12.71,£12.71,2025-07-27T18:55:06.981300
CLIVERS HERB (CLEAVERS),https://justingredients.co.uk/products/clivers-herb?_pos=8&_sid=850c5f5b3&_ss=r,500g,£22.69,£22.69,2025-07-27T18:55:07.011904
CLIVERS HERB (CLEAVERS),https://justingredients.co.uk/products/clivers-herb?_pos=8&_sid=850c5f5b3&_ss=r,1kg,£40.18,£40.18,2025-07-27T18:55:07.043713
