ISBN,title,n_ratings,avg_rating
0971880107,Wild Animus,2502,1.0195843325339728
0316666343,The Lovely Bones: A Novel,1295,4.468725868725869
0385504209,The Da Vinci Code,883,4.652321630804077
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,732,3.448087431693989
0312195516,The Red Tent (Bestselling Backlist),723,4.334716459197787
044023722X,A Painted House,647,3.187017001545595
0142001740,The Secret Life of Bees,615,4.219512195121951
067976402X,Snow Falling on Cedars,614,3.255700325732899
0671027360,Angels &amp; Demons,586,3.718430034129693
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),585,4.105982905982906
